Date,Action,Symbol,Quantity,Price
01/31/2013,Sell,LULU,38.764275512668775,76.23000336
03/31/2013,Sell,VERU,286.8264757676707,8.32496357
03/31/2013,Sell,TYL,48.491719208047996,69.01000214
03/31/2013,Sell,IT,44.46266164756781,56.61000061
03/31/2013,Sell,IDXX,42.63887712483802,41.22000122
03/31/2013,Sell,BLKB,75.95916427837456,28.59401131
3/31/2013,Buy,OSTK,89.77381219556626,25.92000008
3/31/2013,Buy,TYL,33.71883998163549,69.01000214
3/31/2013,Buy,MELI,20.74854690707469,112.1494064
1/31/2013,Buy,LULU,30.52521470190557,76.23000336
3/31/2013,Buy,IT,41.104702247255155,56.61000061
3/31/2013,Buy,CMG,6.445809471720174,361.0
3/31/2013,Buy,SAM,15.22466157826636,152.8399963
3/31/2013,Buy,LL,28.3392668615763,82.11000061
1/31/2013,Buy,ULTA,23.68142854277148,98.26000214
3/31/2013,Buy,MNST,127.8771137097016,18.19666672
03/31/2014,Sell,OSTK,89.77381219556626,15.26000023
03/31/2014,Sell,TYL,33.71883998163549,78.12999725
03/31/2014,Sell,MELI,20.74854690707469,83.67902374
01/31/2014,Sell,LULU,30.52521470190557,59.02999878
03/31/2014,Sell,IT,41.104702247255155,71.08999634
03/31/2014,Sell,CMG,6.445809471720174,547.0900269
03/31/2014,Sell,SAM,15.22466157826636,214.4100037
03/31/2014,Sell,LL,28.3392668615763,77.68000031
01/31/2014,Sell,ULTA,23.68142854277148,96.51999664
03/31/2014,Sell,MNST,127.8771137097016,23.12666702
3/31/2014,Buy,SCRH,41166.51877067907,0.059999999
1/31/2014,Buy,FIVE,57.17571855603424,43.20000076
3/31/2014,Buy,ROL,303.34316557732865,8.14256382
3/31/2014,Buy,CMG,4.514779951427817,547.0900269
3/31/2014,Buy,PAYS,13722.17216121678,0.180000007
3/31/2014,Buy,IT,34.744566215210824,71.08999634
3/31/2014,Buy,IDXX,38.44942664003733,64.23999786
3/31/2014,Buy,TYL,31.61386371448036,78.12999725
3/31/2014,Buy,MANH,76.09338124091607,32.45999908
3/31/2014,Buy,TRIP,28.58425236559408,86.41090393
03/31/2015,Sell,SCRH,41166.51877067907,0.018479999
01/31/2015,Sell,FIVE,57.17571855603424,40.83000183
03/31/2015,Sell,ROL,303.34316557732865,10.05509758
03/31/2015,Sell,CMG,4.514779951427817,615.5200195
03/31/2015,Sell,PAYS,13722.17216121678,0.400000006
03/31/2015,Sell,IT,34.744566215210824,87.48000336
03/31/2015,Sell,IDXX,38.44942664003733,67.80000305
03/31/2015,Sell,TYL,31.61386371448036,121.4800034
03/31/2015,Sell,MANH,76.09338124091607,54.84999847
